source,url,title,publish_date,sentence,lang,cleaned_sentence,sentiment_score,sentiment_label
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"Commuters were all smiles on Wednesday December 4, after Rwanda Utilities Regulatory Authority (RURA) unveiled a pay-per-distance fare system for public buses in Kigali, replacing the flat-rate pricing system that had been in used for years.",en,commuters were all smiles on wednesday december after rwanda utilities regulatory authority rura unveiled a payperdistance fare system for public buses in kigali replacing the flatrate pricing system that had been in used for years,0.5267,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"The new system, which began with the Kabuga-Downtown and Nyabugogo-Kabuga bus routes, will be rolled out to all the routes in Kigali before the end of the year.",en,the new system which began with the kabugadowntown and nyabugogokabuga bus routes will be rolled out to all the routes in kigali before the end of the year,0.0,neutral
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"ALSO READ: Public transport: Kigali to pilot distance-based payment system

As someone who experienced the new fare payment system firsthand, I can confidently say it's a game-changer for passengers.",en,also read public transport kigali to pilot distancebased payment system as someone who experienced the new fare payment system firsthand i can confidently say its a gamechanger for passengers,0.4767,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,Here's how it works.,en,heres how it works,0.0,neutral
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"When boarding the bus, you must first select your journey route, say Kabuga-Downtown, by tapping the card on the smart meter.",en,when boarding the bus you must first select your journey route say kabugadowntown by tapping the card on the smart meter,0.4019,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,Then the meter deducts the full fare for the journey you selected as the first step.,en,then the meter deducts the full fare for the journey you selected as the first step,0.0,neutral
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,You pay Rwf182 per kilometre.,en,you pay rwf per kilometre,-0.1027,negative
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"As the bus moves, the system calculates the actual fare based on the distance travelled in terms of kilometers, and when you get off before the last stop (in this case Downtown), you tap the card once again and you get back the unused amount.",en,as the bus moves the system calculates the actual fare based on the distance travelled in terms of kilometers and when you get off before the last stop in this case downtown you tap the card once again and you get back the unused amount,-0.296,negative
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,The system takes about 10 to 15 seconds to process and return the balance.,en,the system takes about to seconds to process and return the balance,0.0,neutral
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"ALSO READ: Five ways bus lanes will improve Kigali public transport

""Finally, we are only paying for the distance we travel,"" said Jeannette Uwase, who had taken the bus from Kabuga.",en,also read five ways bus lanes will improve kigali public transport finally we are only paying for the distance we travel said jeannette uwase who had taken the bus from kabuga,0.4404,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"""It is a big relief, especially for those of us who do not always reach the end of the route.",en,it is a big relief especially for those of us who do not always reach the end of the route,0.4635,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,I also love how quick and efficient the system is.,en,i also love how quick and efficient the system is,0.7906,positive
